exp,phi_0,dV_ges,eps_0,h_dis_0,h_d_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status,error,h_c_0
10mmol_30C,0.00039895,747.2833243,0.499349181,0.047611008,0.111231076,0.0314191083526896,0.9998402718465952,0.0,success,,
10mmol_30C,0.000354428,708.8722382,0.502864522,0.074892012,0.108552304,0.0318071636879864,0.9996616658659414,0.0,success,,
10mmol_30C,0.000331881,729.4501456,0.499580024,0.065147738,0.111880279,0.0353067894550714,0.9993826155388388,0.0,success,,
10mmol_30C,0.000317511,728.9659997,0.503188489,0.068701843,0.110167457,0.0353202361234514,0.9992190123870168,0.0,success,,
10mmol_30C,0.000518681,996.2166018,0.299190424,0.039886978,0.102206272,0.0092624359389319,0.9998892232241724,0.0,success,,
10mmol_30C,0.000490018,1000.756083,0.30003545,0.035557048,0.108222652,0.0091172115190435,0.9998273727618896,0.0,success,,
10mmol_30C,0.000509374,998.6851727,0.299717834,0.034331379,0.109312838,0.0088784644898265,0.9998793609855584,0.0,success,,
10mmol_30C,0.000365507,1000.201091,0.300003567,0.051118616,0.114449734,0.0328780630716668,0.9985733320150888,0.0,success,,
10mmol_30C,0.000301246,994.3540998,0.298611699,0.066413748,0.115184302,0.0335014026401316,0.9946197106970274,0.0,success,,
10mmol_30C,0.000280242,999.5811505,0.299857956,0.066196256,0.114170378,0.033768290241827,0.9912781336246704,0.0,success,,
10mmol_30C,0.00027145,999.8590684,0.299809586,0.061389894,0.114551606,0.0338729184988949,0.9894060004223886,0.0,success,,
10mmol_30C,0.000497163,1014.236315,0.398204029,0.039495049,0.107373751,0.0116236405010363,0.9998974449158884,0.0,success,,
10mmol_30C,0.000492466,979.4911583,0.398962161,0.038421224,0.106738518,0.0112508268471549,0.9999038276698295,0.0,success,,
10mmol_30C,0.000539625,1003.978828,0.399330826,0.040525404,0.108351713,0.011330498649162,0.9999553018790506,0.0,success,,
10mmol_30C,0.00042029,1002.287891,0.401056011,0.068845438,,0.0096414349282034,0.0,9.7355456850167e-15,success,,0.116344845
10mmol_30C,0.000330604,1007.384867,0.3996617,0.043627778,0.118324589,0.0363190127270884,0.997898177218182,0.0,success,,
10mmol_30C,0.000305845,991.9571202,0.401437606,0.036550775,0.119888392,0.0335967647245363,0.996425993557982,0.0,success,,
10mmol_30C,0.000291252,992.7799037,0.400709559,0.053149543,0.114329707,0.0386675558173796,0.995021648454615,0.0,success,,
10mmol_30C,0.000568047,988.6950896,0.500769062,0.042668381,0.103836703,0.0280658960145966,0.9999889921833196,0.0,success,,
10mmol_30C,0.000581263,998.7623251,0.499775008,0.04447336,0.106282357,0.0315266498202465,0.9999910937404164,0.0,success,,
10mmol_30C,0.000621641,1003.32875,0.499679392,0.040051691,0.110220675,0.0290647381070909,0.9999950412955526,0.0,success,,
10mmol_30C,0.000482122,1008.333026,0.499367542,0.069093982,0.116096568,0.0420984683053679,0.9999437714386538,0.0,success,,
